Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Student Assignment;Leadership;School Reported;School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Operations;CLERICAL, SCHOOL ADMIN.;nan;Undistributed;Salaries Or Wages For Support Personnel;School ;0.19;School Leadership;All Campus Payroll;REGISTRAR;3837.44934264;Undistributed;General Operating Fund;REGULAR PAY
School Administration;Leadership;School Reported;School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;169.82;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;SALARIES OF PART TIME EMPLOYEE;nan;DISTRICT SPECIAL REVENUE FUNDS;Community School Child Care ;nan;nan;nan;COMMUNITY EDUCATION;0.246890086207;CAMPS;nan;PARAPROFESSIONAL;5251.38389711;COMMUNITY SERVICE;nan;COMMUNITY SERVICES OPERATION
Facilities & Maintenance;O&M;School Reported;School;Unspecified;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITALIZED COMPUTER HARDW;nan;nan;nan;nan;nan;nan;School ;nan;OPERATION OF PLANT            ;nan;nan;245.84;nan;GENERAL FUND                  ;SCHOOL OPERATING ACCOUNT      
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;INSTRUCTIONAL SUPPORT TEAMS;GENERAL FUND;Administrators ;nan;nan;nan;ES TEAM ;0.281250088312;NON-PROJECT;nan;ADMINISTRATOR;36406.4723444;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Custodian Asst I ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;240.39;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Student Transportation;O&M;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION,BUS DRIVERS,REG;nan;transportation - Second Runs;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Transportation;Transportation Department;BUS DRIVER;63.65;Undistributed;General Operating Fund;EXTENDED DAYS
Facilities & Maintenance;O&M;School Reported;School;Unspecified;NO_LABEL;Contracted Services;Non PreK;PreK-12 Operating;Contracted Maintenance And Repair;nan;nan;nan;nan;Basic Educational Services - District Objective ;Contracted Maintenance And Repair - Furniture And;School ;nan;Instruction;Technology Department, Administration;nan;324.99;Basic Educational Services;General Operating Fund;nan
Teacher Compensation;Instruction;School on Central Budgets;Non-School;Alternative;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Personal Services - Teachers;nan;nan;nan;nan;Alternative Schools Instruction;nan;District Wide Resources;0.0;nan;nan;TIME CARD CERTIFIEDAddl;1327.79;Instruction - Regular;General Purpose School;nan
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;CUSTODIAN REGULAR;nan;nan;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Facilities Maintenance And Operations;Custodial Department;HEAD CUS MIDDLE SCHOOL ;2111.96;Undistributed;General Operating Fund;OVERTIME
Other Compensation;Instruction;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION,BUS DRIVERS,REG;nan;transportation - Second Runs;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Transportation;Transportation Department;BUS DRIVER;27.45;Undistributed;General Operating Fund;FIELD TRIPS
Teacher Compensation;Instruction;School Reported;School;Special Education;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, SPECIAL EDUCATION;nan;nan;Critical Needs Incentive;School ;nan;Instruction;All Campus Payroll;TEACHER BACHELOR;1563.23660541;Services To Students With Disabilities (Special Education);General Operating Fund;CRITICAL NEEDS SUPPLEMENT
Recruitment;ISPD;Shared Services;Non-School;Unspecified;Substitute;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;HUMAN RESOURCES RECRUITMENT;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Short Term Sub ;nan;nan;nan;HUMAN RESOURCES;nan;NEW TEACHER RECRUITMENT;nan;PROFESSIONAL-INSTRUCTIONAL;38.73672;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Student Transportation Purchased from Other Sources;nan;Community Services;nan;nan;nan;Pupil Transportation *;nan;nan;Other Community Services *;nan;nan;-466.38;nan;Title I - Disadvantaged Children/Targeted Assistance; TITLE I PI+HOMELESS
Other Compensation;Instruction;School Reported;School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Program Specialist ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-1221.6799999999996;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Facilities Planning;Business Services;Leadership & Management;Non-School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;SECRETARY II                  ;nan;nan;nan;GROWTH                        ;0.8939445304700001;PLANNING,RES,DEV,& EVAL       ;nan;nan;32755.76751590001;nan;GENERAL FUND                  ;nan
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;GENERAL EDUCATION;LOCAL;TEACHER,ENGLISH;nan;nan;nan;nan;1.0;nan;nan;nan;120105.11961700002;nan;nan;nan
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;School Counselor, High Sch ;Turnaround;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;7746.54024;GUIDANCE SERVICES;nan;STUDENTS
Recruitment;ISPD;Shared Services;Non-School;Unspecified;Substitute;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;HUMAN RESOURCES RECRUITMENT;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Short Term Sub ;nan;nan;nan;HUMAN RESOURCES;nan;NEW TEACHER RECRUITMENT;nan;PROFESSIONAL-INSTRUCTIONAL;37.956720000000004;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Parent & Community Relations;NO_LABEL;School Reported;School;NO_LABEL;Other;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;School Liaison;nan;nan;nan;nan;1.0;nan;nan;BILINGUAL;25744.67;Misc;General Fund;nan
Student Transportation;O&M;Shared Services;Non-School;Special Education;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ALL OTHER SUPPLEMENTS         ;nan;nan;MECHANIC                      ;nan;nan;nan;TRANSPORTATION                ;0.0;PUPIL TRANSPORTATION SERVICES ;nan;nan;59.28;nan;GENERAL FUND                  ;nan
Untracked Budget Set-Aside;Untracked Budget Set-Aside;School Reported;School;Poverty;Teacher;Benefits;NO_LABEL;PreK-12 Operating;FICA                          ;nan;nan;FAMILY/SCHOOL LIAISON         ;nan;nan;nan;School ;nan;INST & CURRICULUM DEV SVCS    ;nan;nan;-0.4;nan;FED THRU STATE-CASH ADVANCE   ;TITLE I                       
Facilities & Maintenance;O&M;Leadership & Management;Non-School;Unspecified;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;ITEMGG-CIO/CTO;GENERAL FUND;Secretary, Executive II ;nan;nan;nan;nan;nan;NON-PROJECT;nan;OFFICE/ADMINISTRATIVE SUPPORT;3899.01;INFORMATION SYSTEMS SERVICES;nan;CENTRAL
Curriculum Development;ISPD;Leadership & Management;Non-School;Alternative;Non-Position;Contracted Services;NO_LABEL;PreK-12 Operating;PROF SERVICE FEES AND CONTR;LOCAL GRANTS ADMINISTRATION;VOCATIONAL EDUCATION - CARL D. PERKINS;nan;nan;nan;nan;OFFICE OF CAREER AND TECHNICAL EDUCATION;nan;nan;nan;OTHER SERVICES & CHARGES;130027.47;INSTRUCTIONAL SUPPORT SERVICES;INTRADISTRICT FUNDS;nan
Physical Health & Services;Pupil Services & Enrichment;Leadership & Management;Non-School;Special Education;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;MEDICAID;DISTRICT SPECIAL REVENUE FUNDS;Vision Screening Tech II ;nan;nan;nan;SPECIAL EDUCATION;nan;MEDICAID;nan;OFFICE/ADMINISTRATIVE SUPPORT;20.92;NURSING SERVICES;nan;STUDENTS
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Other Utilities Services *;nan;Support Services - Administration;nan;nan;nan;Utilities Services;nan;nan;State and Federal Projects Coordination Services*;nan;nan;-403.9;nan;School to Work;ITEMAI-CITY-YTH EMP & OPP 
NO_LABEL;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Contracted Services;NO_LABEL;PreK-12 Operating;OTHER PURCHASED SERVICES;nan;MISCELLANEOUS;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;326.6;Misc;General Fund;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Librarian;Substitute Compensation;NO_LABEL;PreK-12 Operating;TEACHER COVERAGE FOR TEACHER;TEACHER SUBS;GENERAL FUND;Teacher, Librarian Elem ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;254.71832;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Library & Media;Instruction;School Reported;School;Unspecified;Librarian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;GENERAL FUND;Teacher, Librarian Elem ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;84.22;SCHOOL LIBRARY SERVICES;nan;INSTRUCTIONAL STAFF
Special Population Program Management & Support;ISPD;School on Central Budgets;Non-School;Special Education;Psychologist;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Psychologists;nan;nan;PSYCHOLOGIST (SPECIAL ED ;nan;Special Education Support;nan;District Wide Resources;1.0;nan;PSYCHOLOGICAL SERVICES;PSYCHOLOGICAL ;80668.19;Principal's Office;General Purpose School;nan
Utilities;O&M;Shared Services;Non-School;Unspecified;Non-Position;Rent/Utilities;NO_LABEL;PreK-12 Operating;NATURAL GAS;OPERATIONS - UTILITIES;GENERAL FUND;(blank);nan;nan;nan;CONTEMPORARY LEARNING ZUNI;nan;NON-PROJECT;nan;UNDESIGNATED;6996.32;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
School Administration;Leadership;School Reported;School;Unspecified;Principal;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;ADMINISTRATOR                 ;nan;nan;PRINCIPAL-MIDDLE              ;nan;nan;nan;School ;1.0;SCH ADMIN (OFFICE OF PRINC)   ;nan;nan;113311.87108699999;nan;GENERAL FUND                  ;nan
Legal;Business Services;Leadership & Management;Non-School;Unspecified;Non-Position;Contracted Services;NO_LABEL;PreK-12 Operating;LEGAL SERVICES;LEGAL SERVICES;GENERAL FUND;(blank);nan;nan;nan;SCHOOL ATTORNEY;nan;NON-PROJECT;nan;UNDESIGNATED;130168.72;LEGAL SERVICES;nan;GENERAL ADMINISTRATION
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;Psychologist;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;GENERAL FUND;Psychologist ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;219.05;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Curriculum Development;ISPD;School Reported;School;Unspecified;Non-Position;Supplies/Materials;Non PreK;PreK-12 Operating;Other General Supplies;nan;Support Services - Instructional Staff;nan;nan;nan;General Supplies *;nan;nan;Instruction And Curriculum Development Services *;nan;nan;-1799.79;nan;Special Trust;INTEL ISEF MINORITY OUTRE
Library & Media;Instruction;School Reported;School;Unspecified;Librarian;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Teacher, Librarian Elem ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;2634.63776;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Insurance;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;OTHER PURCHASED SERVICES      ;nan;nan;nan;nan;nan;nan;RISK MANAGEMENT               ;nan;STAFF SERVICES                ;nan;nan;30042.88;nan;GENERAL FUND                  ;RISK MANAGEMENT               
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Studnt Parnt Famly Involvmt ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-446.42;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Student Transportation;O&M;School Reported;School;Unspecified;Non-Position;Travel & Conferences;NO_LABEL;PreK-12 Operating;TRAVEL - LOCAL;TRANSPORTATION;LOCAL;nan;nan;nan;nan;nan;nan;nan;nan;OTHER SERVICES & CHARGES;6999.76;INSTRUCTIONAL SUPPORT SERVICES;LOCAL FUND;nan
School Administration;Leadership;School Reported;School;Poverty;Sec/Clerk/Other Admin;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;FEDERAL GDPG FUND - FY ;Secretary II ;Regular;nan;nan;nan;nan;TITLE I - CENTRAL PROGRAMS;nan;PARAPROFESSIONAL;61.23832;COMMUNITY SERVICE;nan;COMMUNITY SERVICES OPERATION
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;NO_LABEL;PreK-12 Operating;OTHER PERSONAL SERVICES       ;nan;nan;SUB TEACHER ALL               ;nan;nan;nan;School ;0.0;BASIC (FEFP K-12)             ;nan;nan;163.34;nan;GENERAL FUND                  ;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Supplies and Materials;nan;Support Services - Instructional Staff;nan;nan;nan;Supplies And Materials;nan;nan;Instruction And Curriculum Development Services *;nan;nan;1430.73;nan;Special Trust;ITEMS-VARIOUS GRANTS
Student Assignment;Leadership;School Reported;School;Poverty;Sec/Clerk/Other Admin;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Title  Part A Improving Basic Programs;CLERICAL, SCHOOL ADMIN.;nan;Extra Duty;Extra Duty Pay/Overtime For Support Personnel;School ;nan;School Leadership;Instruction And Curriculum;REGISTRAR;320.3;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;MISCELLANEOUS 
Professional Development;ISPD;Shared Services;Non-School;ELL;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Project Coordinator ;nan;nan;nan;ENGLISH FOR SPEAKERS OF OTHER;nan;TITLE III  ELA;nan;PROFESSIONAL-OTHER;1572.54;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;TEACHER SUBS;GENERAL FUND;Teacher, Short Term Sub ;Turnaround;nan;nan;nan;0.038793103448300004;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;987.6014462119999;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;nan;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;DEGREED SUBSTITUTE;94.277986111;Bilingual Education And Special Language Programs;General Operating Fund;REGULAR PAY
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Capital Outlay;nan;Community Services;nan;nan;nan;Capital Outlay;nan;nan;Non-Public School Services *;nan;nan;3913.76;nan;Title I - Disadvantaged Children/Targeted Assistance;ARRA - NONPUBLIC SET ASID
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Regular *;nan;Community Services;nan;nan;nan;Certificated Employees Salaries And Wages;nan;nan;Non-Public School Services *;nan;nan;-5436.469999999998;nan;Title I - Disadvantaged Children/Targeted Assistance;ARRA - NONPUBLIC SET ASID
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Occupational Therapist;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Occupational Therapist ;nan;nan;nan;SPECIAL EDUCATION;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;842.49;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Security & Safety;O&M;School Reported;School;Unspecified;School Monitor/Security;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SAFETY AND SECURITY;GENERAL FUND;Campus Security Officer ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;OFFICE/ADMINISTRATIVE SUPPORT;141.63;SCHOOL SECURITY;nan;OPERATION AND MAINT OF PLANT
Legal;Business Services;Leadership & Management;Non-School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;COPYING;LEGAL SERVICES;GENERAL FUND;(blank);nan;nan;nan;SCHOOL ATTORNEY;nan;NON-PROJECT;nan;UNDESIGNATED;3691.41;LEGAL SERVICES;nan;GENERAL ADMINISTRATION
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;TEACHER SUBS;GENERAL FUND;Teacher, Short Term Sub ;Regular;nan;nan;nan;0.004310344827590001;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;109.937938468;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Enrichment;Pupil Services & Enrichment;School Reported;School;Unspecified;Club Advisor/Coach;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Personal Services - Teachers;nan;nan;nan;nan;Regular Instruction;nan;nan;0.0;nan;nan;CCOACH CERT TCHRACCT;4515.6500000000015;Instruction - Regular;General Purpose School;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;ADDITIONAL INCOME ALLOWANCE;SCHOOL LEADERSHIP;LOCAL;nan;nan;nan;nan;nan;nan;nan;nan;nan;-0.22;SCHOOL SYSTEM MAGEMENT;LOCAL FUND;nan
Security & Safety;O&M;School Reported;School;Unspecified;School Monitor/Security;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Principals' Budgets;SECURITY OFFICER;nan;Undistributed;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Security And Monitoring Services;nan;POLICE PATROL MAN;128.21;Undistributed;General Operating Fund;ADDL REGULAR PAY-NOT SMOOTHED
Governance;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Other Non-Compensation;Non PreK;PreK-12 Operating;Miscellaneous Operating Costs;nan;nan;nan;nan;nan;Fees (Not Associated With Travel);School Board;nan;General Administration;School Board;nan;1774.32;Undistributed;General Operating Fund;nan
Student Transportation;O&M;Shared Services;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;GENERAL FUND;Route Scheduler II ;nan;nan;nan;TRANSPORTATION;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;503.84;PUPIL TRANSPORTATION SERVICES;nan;STUDENT TRANSPORTATION
Student Transportation;NO_LABEL;Shared Services;Non-School;NO_LABEL;Other;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Bus Driver                              ;nan;nan;nan;Transportation;1.0;nan;nan;BUS DRIVER                              ;21927.6158932;PUPIL TRANSPORTATION;General Fund;nan
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER CERTIFIED               ;nan;nan;COUNSELOR-MIDDLE              ;nan;nan;nan;School ;0.47;GUIDANCE SERVICES             ;nan;nan;30057.121610799997;nan;GENERAL FUND                  ;nan
Instructional Materials & Supplies;Instruction;School Reported;School;Unspecified;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;Miscellaneous Operating Costs;nan;nan;nan;nan;Basic Educational Services - District Objective ;Software License - Web Access;School ;nan;Instruction;Finance Department;nan;567.48;Basic Educational Services;General Operating Fund;nan
